elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
0.005208,0,-1.12,0.90,-43.94,-53.11,0,938.50,6,imu,"-1.12,0.90,-43.94,-53.11,0,938.50"
0.015498,0,-1.00,0.41,-44.65,-47.73,0,938.50,6,imu,"-1.00,0.41,-44.65,-47.73,0,938.50"
0.028254,0,-2.10,1.39,-41.54,-47.96,0,938.50,6,imu,"-2.10,1.39,-41.54,-47.96,0,938.50"
0.040647,0,-1.61,2.37,-39.99,-48.92,0,938.50,6,imu,"-1.61,2.37,-39.99,-48.92,0,938.50"
0.053264,0,-1.00,1.51,-34.13,-55.26,0,938.50,6,imu,"-1.00,1.51,-34.13,-55.26,0,938.50"
0.063491,0,0.10,0.90,-34.84,-64.59,0,938.50,6,imu,"0.10,0.90,-34.84,-64.59,0,938.50"
0.076274,0,1.44,2.73,-39.75,-52.87,0,938.50,6,imu,"1.44,2.73,-39.75,-52.87,0,938.50"
0.089027,0,1.20,3.83,-46.33,-47.01,0,938.50,6,imu,"1.20,3.83,-46.33,-47.01,0,938.50"
0.099161,0,,,,,,,1,text,1.69
0.101811,0,,,,,,,6,text,",3.71,-53.39,-37.80,0,938.50"
0.112034,0,1.81,-0.08,-41.18,-31.81,0,938.50,6,imu,"1.81,-0.08,-41.18,-31.81,0,938.50"
0.124743,0,1.32,-0.44,-43.70,-46.89,0,938.50,6,imu,"1.32,-0.44,-43.70,-46.89,0,938.50"
0.137531,0,1.20,0.53,-53.99,-59.45,0,938.50,6,imu,"1.20,0.53,-53.99,-59.45,0,938.50"
0.147772,0,1.08,2.98,-54.58,-53.11,0,938.50,6,imu,"1.08,2.98,-54.58,-53.11,0,938.50"
0.160557,0,0.71,2.85,-47.64,-53.95,0,938.50,6,imu,"0.71,2.85,-47.64,-53.95,0,938.50"
0.173357,0,0.59,2.37,-41.66,-56.58,0,938.50,6,imu,"0.59,2.37,-41.66,-56.58,0,938.50"
